name,paramtype,uom,issetbyuser,group,description
FluidType,Fluid Type,,True,Configuration,Sink fluid type
ModeCheck,Enumeration,,False,Configuration,Global check for mode change warnings while still in Process mode
GlobalComponents,Enumeration,,False,Configuration,Global GlobalComponents option to display component fractions or flows on molar or mass basis
Components,Enumeration,,False,Configuration,Sink Components option to display component fractions or flows on molar or mass basis.\nSet Components to Global and change it globally using GlobalComponents.
StandardProperties,Enumeration,,False,Configuration,"Sink StandardProperties option to calculate standard liquid volumetric flowrate\nbased on pure components specific gravity, SG60F, which is at 60 F and 1 atm"
Elevations,Enumeration,,False,,"Global selection to enable the specification of equipment port elevations.\n     Disabled: disable specifications for port elevations.  The elevation change (DE) can still be specified in the Pipe and PipeRig models.\n     Manual: manually specify port elevations. DE in the Pipe and PipeRig models can be swapped for port elevation specifications.\n     Automatic: automatically calculate port elevations using equipment geometry and configuration options for select models (Column, Drum, etc).\n\nWhen automatic elevations are enabled, an elevation specification must be removed from each inlet stream of impacted models (for example, remove the DE specification from an inlet Pipe).\nOther model elevations must still be manually specified. For an explanation of how port elevations are estimated, see each model's help file."
Phases,Enumeration,,False,Configuration,Sink option to override the fluid phase selection\n     Fluid: The FluidType's phases are applied.\n     Vapor: The phases are set to Vapor.\n     Liquid: The phases are set to Liquid.\n     VLE: The phases are set to VLE.\n     VLWE: The phases are set to VLWE.\n     VLLE: The phases are set to VLLE.
PhaseNoOverride,Enumeration,,False,,Sink PhaseOverride parameter defaulted to NoOverride which is used for the connection to the State.PhaseOverride when Phases = Fluid
ReverseFlow,Enumeration,,False,Reverse Flow,"Sink reverse flow setting in Process mode\n    Reflected: The reverse flow properties are same as forward flow.\n    Defined: The reverse flow (Tr, Mr) properties can be defined."
